ticker,name,sector,lei
IGG,IG Group,Financial services,2138003A5Q1M7ANOUD76
IHG,IHG Hotels & Resorts,Travel & leisure,
IMI,IMI,Industrial engineering,2138002W9Q21PF751R30
IMB,Imperial Brands,Tobacco,549300DFVPOB67JL3A42
INCH,Inchcape,Retailers,213800RGEH1MPPNM2T57
INF,Informa,Media,5493006VM2LKUPSEDU20
IHP,IntegraFin Holdings,Financial Services,213800CYIZKXK9PQYE87
IAG,International Airlines Group,Travel & leisure,
INPP,International Public Partnerships,Financial Services,2138002AJT55TI5M4W30
IWG,International Workplace Group,Support Services,
ITRK,Intertek,Support services,2138003GAT25WW1RN369
IAD,Invesco Asia Dragon Trust,Investment Trusts,
INVP,Investec,Financial Services,2138007Z3U5GWDN3MY22
IPO,IP Group,Financial Services,213800HG22UM138WFG43
ITH,Ithaca Energy,Oil & Gas Producers,21380057TNFLXPXBIP34
ITV,ITV,Media,ZLECI7ED2QMWFGYCXZ59
JD,JD Sports,General retailers,213800HROV6Y9MUU8375
JMAT,Johnson Matthey,Chemicals,2138001AVBSD1HSC6Z10
JSG,Johnson Service Group,Industrial Support Services,2138004WZUPWV53KWV11
JAM,JPMorgan American Investment Trust,Investment Trusts,
JCH,JPMorgan Claverhouse Investment Trust,Investment Trusts,
JEMI,JPMorgan Emerging Markets Dividend Income,Investment Trusts,
JMGI,JPMorgan Emerging Markets Growth & Income,Investment Trusts,
JEDT,JPMorgan European Discovery,Investment Trusts,
JEGI,JPMorgan European Growth & Income,Investment Trusts,
JGGI,JPMorgan Global Growth & Income,Investment Trusts,
JFJ,JPMorgan Japanese Investment Trust,Investment Trusts,
JUP,Jupiter Fund Management,Financial Services,5493003DJ1G01IMQ7S28
KNOS,Kainos,Software & Computer Services,213800H2PQMIF3OVZY47
KLR,Keller Group,Construction & Materials,549300QO4MBL43UHSN10
KIE,Kier Group,Construction & Materials,2138002RKCU2OM4Y7O48
KGF,Kingfisher plc,Retailers,213800KBMEV7I92FY281
LRE,Lancashire Holdings,Nonlife Insurance,5493002UNUYXLHOWF752
LAND,Land Securities,Real estate investment trusts,
